"","V1"
"1","Comunidades y Ciudades Autónomas;Periodo año mes;Total Nacimientos"
"392","08 Castilla - La Mancha;1988M06;1.647"
"393","08 Castilla - La Mancha;1988M05;1.737"
"394","08 Castilla - La Mancha;1988M04;1.613"
"395","08 Castilla - La Mancha;1988M03;1.763"
"396","08 Castilla - La Mancha;1988M02;1.447"
"397","08 Castilla - La Mancha;1988M01;1.585"
"398","08 Castilla - La Mancha;1987M12;1.638"
"399","08 Castilla - La Mancha;1987M11;1.468"
"400","08 Castilla - La Mancha;1987M10;1.547"
"401","08 Castilla - La Mancha;1987M09;1.742"
"402","08 Castilla - La Mancha;1987M08;1.782"
"403","08 Castilla - La Mancha;1987M07;1.769"
"404","08 Castilla - La Mancha;1987M06;1.759"
"405","08 Castilla - La Mancha;1987M05;1.841"
"406","08 Castilla - La Mancha;1987M04;1.743"
"407","08 Castilla - La Mancha;1987M03;1.588"
"408","08 Castilla - La Mancha;1987M02;1.399"
"409","08 Castilla - La Mancha;1987M01;1.633"
"410","08 Castilla - La Mancha;1986M12;1.607"
"411","08 Castilla - La Mancha;1986M11;1.606"
"412","08 Castilla - La Mancha;1986M10;1.653"
"413","08 Castilla - La Mancha;1986M09;1.654"
"414","08 Castilla - La Mancha;1986M08;1.798"
"415","08 Castilla - La Mancha;1986M07;1.872"
"416","08 Castilla - La Mancha;1986M06;1.744"
"417","08 Castilla - La Mancha;1986M05;1.829"
"418","08 Castilla - La Mancha;1986M04;1.754"
"419","08 Castilla - La Mancha;1986M03;1.613"
"420","08 Castilla - La Mancha;1986M02;1.535"
"421","08 Castilla - La Mancha;1986M01;1.555"
"422","08 Castilla - La Mancha;1985M12;1.608"
"423","08 Castilla - La Mancha;1985M11;1.485"
"424","08 Castilla - La Mancha;1985M10;1.681"
"425","08 Castilla - La Mancha;1985M09;1.697"
"426","08 Castilla - La Mancha;1985M08;1.657"
"427","08 Castilla - La Mancha;1985M07;1.866"
"428","08 Castilla - La Mancha;1985M06;1.878"
"429","08 Castilla - La Mancha;1985M05;1.941"
"430","08 Castilla - La Mancha;1985M04;1.730"
"431","08 Castilla - La Mancha;1985M03;1.788"
"432","08 Castilla - La Mancha;1985M02;1.501"
"433","08 Castilla - La Mancha;1985M01;1.653"
"434","08 Castilla - La Mancha;1984M12;1.562"
"435","08 Castilla - La Mancha;1984M11;1.606"
"436","08 Castilla - La Mancha;1984M10;1.826"
"437","08 Castilla - La Mancha;1984M09;1.690"
"438","08 Castilla - La Mancha;1984M08;1.802"
"439","08 Castilla - La Mancha;1984M07;1.863"
"440","08 Castilla - La Mancha;1984M06;1.920"
"441","08 Castilla - La Mancha;1984M05;1.990"
"442","08 Castilla - La Mancha;1984M04;1.877"
"443","08 Castilla - La Mancha;1984M03;1.775"
"444","08 Castilla - La Mancha;1984M02;1.830"
"445","08 Castilla - La Mancha;1984M01;1.696"
"446","08 Castilla - La Mancha;1983M12;1.678"
"447","08 Castilla - La Mancha;1983M11;1.620"
"448","08 Castilla - La Mancha;1983M10;1.721"
"449","08 Castilla - La Mancha;1983M09;1.793"
"450","08 Castilla - La Mancha;1983M08;1.918"
"451","08 Castilla - La Mancha;1983M07;2.001"
"452","08 Castilla - La Mancha;1983M06;1.972"
"453","08 Castilla - La Mancha;1983M05;2.062"
"454","08 Castilla - La Mancha;1983M04;1.784"
"455","08 Castilla - La Mancha;1983M03;1.915"
"456","08 Castilla - La Mancha;1983M02;1.581"
"457","08 Castilla - La Mancha;1983M01;1.793"
"458","08 Castilla - La Mancha;1982M12;1.781"
"459","08 Castilla - La Mancha;1982M11;1.726"
"460","08 Castilla - La Mancha;1982M10;1.963"
"461","08 Castilla - La Mancha;1982M09;1.816"
"462","08 Castilla - La Mancha;1982M08;1.895"
"463","08 Castilla - La Mancha;1982M07;2.052"
"464","08 Castilla - La Mancha;1982M06;1.977"
"465","08 Castilla - La Mancha;1982M05;2.273"
"466","08 Castilla - La Mancha;1982M04;2.003"
"467","08 Castilla - La Mancha;1982M03;1.945"
"468","08 Castilla - La Mancha;1982M02;1.616"
"469","08 Castilla - La Mancha;1982M01;1.757"
"470","08 Castilla - La Mancha;1981M12;1.702"
"471","08 Castilla - La Mancha;1981M11;1.723"
"472","08 Castilla - La Mancha;1981M10;1.825"
"473","08 Castilla - La Mancha;1981M09;1.990"
"474","08 Castilla - La Mancha;1981M08;1.999"
"475","08 Castilla - La Mancha;1981M07;2.230"
"476","08 Castilla - La Mancha;1981M06;2.109"
"477","08 Castilla - La Mancha;1981M05;2.298"
"478","08 Castilla - La Mancha;1981M04;2.032"
"479","08 Castilla - La Mancha;1981M03;1.799"
"480","08 Castilla - La Mancha;1981M02;1.691"
"481","08 Castilla - La Mancha;1981M01;1.730"
"482","08 Castilla - La Mancha;1980M12;1.794"
"483","08 Castilla - La Mancha;1980M11;1.718"
"484","08 Castilla - La Mancha;1980M10;1.794"
"485","08 Castilla - La Mancha;1980M09;2.008"
"486","08 Castilla - La Mancha;1980M08;1.991"
"487","08 Castilla - La Mancha;1980M07;2.111"
"488","08 Castilla - La Mancha;1980M06;2.188"
"489","08 Castilla - La Mancha;1980M05;2.167"
"490","08 Castilla - La Mancha;1980M04;1.972"
"491","08 Castilla - La Mancha;1980M03;2.019"
"492","08 Castilla - La Mancha;1980M02;1.843"
"493","08 Castilla - La Mancha;1980M01;1.934"
"494","08 Castilla - La Mancha;1979M12;1.708"
"495","08 Castilla - La Mancha;1979M11;1.816"
"496","08 Castilla - La Mancha;1979M10;1.905"
"497","08 Castilla - La Mancha;1979M09;2.046"
"498","08 Castilla - La Mancha;1979M08;2.099"
"499","08 Castilla - La Mancha;1979M07;2.161"
"500","08 Castilla - La Mancha;1979M06;2.208"
"501","08 Castilla - La Mancha;1979M05;2.252"
"502","08 Castilla - La Mancha;1979M04;2.013"
"503","08 Castilla - La Mancha;1979M03;2.107"
"504","08 Castilla - La Mancha;1979M02;1.810"
"505","08 Castilla - La Mancha;1979M01;1.980"
"506","08 Castilla - La Mancha;1978M12;1.780"
"507","08 Castilla - La Mancha;1978M11;1.918"
"508","08 Castilla - La Mancha;1978M10;2.096"
